,location,date,job,rating,review_title,review_content
22, Brand Management and Creative Services (Former Employee) , 100 Yonge Street ,Production Manager - Brand Management and Creative Services,3.0,"Great co-workers, horrible management","The bank has struggled to meet the digital world.  The focus has shifted from employee to stock returns.  The bank wanted complete devotion to the company, yet has no interest in the welfare of its employees.  Managers and departments are pitted against each others in the false notion of competition is good among employees.  Every manager just worries about the christmas bonus, thats all that is important internally."
23, Canada , 15 February 2021,Financial Advisor,3.0,Really Depends on Location,"Working at Scotiabank had its ups and downs. The Financial Advisor position had far too many goals and tasks that it was very hard to do what was asked of you, meanwhile getting little pay. Management can make or break the position, and it really varies on location. It is a good entry level position, but too stressful for me to stay for long. I've heard the Customer Service positions are much better, though. "
24, Saskatoon , 12 February 2021,Financial Advisor,4.0,Aggressive targets ,They aren't afraid to fire people if they are not performing. Not a bad employer but they are not very flexible. Somewhat limited by technology. I would work there again.
25," Kelowna, BC ", 10 February 2021,Universal Banker,2.0,Unfortunately it’s all about numbers,"I worked for this company for nearly 7 years in numerous positions. Every year it’s getting worse. The stress and pressure for FA are tremendous. Every day u have meeting about targets, calls. When u reach one u get scold for the other you didn’t  reach. They closed mid office back in the day, who provided the admin support and it’s well needed . The FA have no time to do all in 7.5h. They paid poorly for the amount of work they need to be done. The front staff ,tellers are above $2 min wage and have so much on their shoulders. If any of them make a mistake regarding policy they will receive conduct letter ( 3 strikes and out). All of us were asking to get increase we were told, no increase, now they changing front positions with more things to do without compensation. The way how it’s managed it’s poor and it’s all goes from the top. Otherwise people are great to work with,  we are all in the same boat, depressed and frustrated. I Do not recommend this company most of my coworkers are on stress leave or quit. "
26," Calgary, AB ", 5 February 2021,Teller; Supervisor Level,4.0,Overall good,Excellent and professional work culture and environment. Work and be overloaded and stressful at times. Management is excellent with lost of advancement opportunities. Several employee and support programs. One of the best environments to work in.
27, Uptown Waterloo branch , 28 January 2021,Cashier and Customer Service,5.0,Excellent work place and co workers are like a family very much understanding ,Excellent work place and my team worker are all amazing people like a small family very much understanding and helpful. All Manager at uptown waterloo branch are the best people to work with. Thank for giving me and opportunity. Only the amount of work you do the salary is not that great. 
28," Thunder Bay, ON ", 27 January 2021,Customer Service Representative,5.0,Workplace is fast paced ,If you are a teller you can get busy and overloaded with work. For advisors. A lot of customers come to the branch daily. The staff and management are good. 
29," St. John's, NL ", 27 January 2021,Financial Advisor,1.0,Mirco managers, Management high turn over . High turn over in staff . Current manager is not motivating. All they do is repeat what we need to do .Current management mirco management is very counterproductive. We don’t need meetings about meetings. Depending on the location/ branch you will move / advance. If your in a failing branch you won’t advance. Even if your succeeding as no one to fill your position. Benefits good . Men make more with this employer . Not equal pay employer .
30," Calgary, AB ", 26 January 2021,Financial Advisor,2.0,Decent Company,Company is about sales. They tell you do the right thing and don't force people but then push for sales. They say they are big on diversity but I didn't see that. It's one thing to say it and another to actually do something about it. My manager was good but things above got me to leave. Maybe sales is not my thing. Salary is very low compared to other banks and lenders.
31," Edmonton, AB ", 26 January 2021,Customer Service Representative,4.0,Very friendly staff..more like a family,Does not pay very well but benefits are good..not enough hours to pay bills. Since covid part-time hours only available because bank has shorter hours
32," Calgary, AB ", 18 January 2021,Customer Service Representative,2.0,Does not value casual employees,"Worked for Scotia for close to 7 years, and was making only 10 cents more than my starting wage due to a switch in provinces and casual employees not being eligible for wage increases. Benefits while permanent are great. Management varied greatly from branch to branch. Some are very well organized, and others require overtime to finish the day, but is rarely paid out because branch managers think things should be done quicker. As a result, closing activities sometimes took place in an unsafe matter, or before the doors were locked, which created a security risk that often went unnoticed. Management was occasionally incompetent due to the practice of promoting people out of the branch to get rid of them, rather than firing them. "
33," Bonavista, NL ", 14 January 2021,Customer Service Representative,1.0,Lack of management ,"Sadly the management and favouritism is lacking. I love the customers and enjoyed that aspect, and the financial officers were great but the culture in that location was awful! The Lack of training, and management made it for a very sad experience."
34," Toronto, Ontario ", 11 January 2021,Premises Manager,5.0,Great success all around,Successfully ensured the smooth running of the premises on Toronto. All the health and safety check were exceeded. Proper and effective risk assessment were successfully implemented. I was absolutely perfect at my job. 
35," Halifax, NS ", 5 January 2021,Bilingual Customer Service Representative,1.0,Don’t work here,"Don’t work there , management is no where to be found when in need of help and if they are they’ll leave you and tell you it’s not their problem . Customers are probably worse than management. They threaten you all day long you might get 5/150 calls that are good customers . Don’t waste your time the money is good but your mentality won’t be."
36," St. John's, NL ", 3 January 2021,Customer Relations Representative/CustomerService Supervisor,5.0,Productive and fun place to work even in the busy tones ,It was a fun place to work even though it was very busy place to work. We had lots of fun and got the work done . The staff were very friendly. Loved going to work everyday. 
37," Scarborough, ON ", 26 December 2020,Infrastructure/ Cloud Security Engineer,5.0,Very good environment ,I feel very comfortable and satisfied. The working environment is flexible and management is so good.I wish to work at Scotia bank again. Team lead and manager very much help full and coleage are helpfulVery good team.
38," Edmonton, AB ", 24 December 2020,Customer Representative,1.0,Not a great place to work at all,"In the 5+ years that I worked for Scotiabank, I can honestly say they don’t care about you as an employee, they only care about high value clients and their money. Some managers will only show respect to employees who are on their “good side” which means having to suck up to them all day, everyday. Job advancement is a joke as well within this company, you also need to be on the managers “good side” just to be considered for a better position, no matter how qualified you are. In the time I worked there as a CR, I was never late and worked really hard but only received in total maybe 65 cents in raises. As a CR you’re required to do a lot throughout the day, it is usually very stressful and definitely isn’t worth the amount of money you receive as a wage. Even HR pretends to care about you but they really don’t. You’re just a number to them. If the company makes a mistake with your hours or pay, they’ll take their sweet time fixing it but if there’s a mistake with a customers money they make sure they’re paid back the same day. This company doesn’t have its priorities straight at all. They expect their employees to go the extra mile in order to bring in as much customer money as possible but they aren’t willing to go the extra mile for their employees. If you work full time though the benefit and health spending account plans are pretty decent and help a lot with prescriptions and other expenses. That’s the only good thing I can think of though in regard to this company."
39," Halifax, NS ", 17 December 2020,Customer Service Officer,1.0,not a great place to work anymore,"It was fun to work there in the beginning looked like there was lots of advancement options, but so much competition for jobs depends on who your manager is and how they would help you get ahead. Very clicky and just stressful, very stressful no matter how much work you put into it, never seems like good enough."
40, Ontario , 15 December 2020,Client Advisor,2.0,"Good way for your foot in the door, but stressful and fast-paced","Good workplace if you’re looking for experience at a financial institution. Cal centre level there’s no managers around and you find things on your own like resources and help. Colleagues aren’t always helpful, very disorganized and overly secured company that hinders a successful call completion, and unrealistic expectations for targets you need to meet. Things you should’ve learned during training, you learn on the floor. Not a good place to stay, but a great way to learn about the financial industry and move on to something better. "
41," Scarborough, ON ", 7 December 2020,Mainframe Analyst Access Security,4.0,Great coworkers and management,"Good facility, friendly co-workers. Management acknowledgement at accomplishments. Good facility location easy transportation access. Easy senior management communication"
42," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
43, Ottawa , 26 November 2020,Financial Advisor,1.0,Worst company,"Very stressful and no support from manager. They only care sales not employees at all. And bank don’t train FAs properly, they want them to start work as soon as possible to get sales for the bank. And so many FAs are doing a lot bad things for clients"
44," Toronto, ON ", 16 November 2020,Corporate Banking Analyst,1.0,Corporate Banking role in Toronto,Horrible management and culture with very long hours and low pay compared to the street. The corporate banking directors and managers think they are god's greatest gift to mankind. 
45, Mississauga , 13 November 2020,AML Investigator,3.0,Very stressed,The job it self is not so bad. The management is very tough on productivity  free overtime is required from time to time.   Job is very  tedious and boring.
46," Stratford, ON ", 13 November 2020,Senior Business Data Entry Analyst,5.0,amazing people to work with,best co workers ever and the job has many perks and nice things like if your not feeling good or sleepy they have a bed room like place to relax and refresh for better work performance and even the managers are amazing they always teach new techniques and how to better your performance and even have every 2 weeks to a month a special donation or contributing for different organizations and events to support this and that means a lot. im proud to have n=been part of this amazing environment.
47," Toronto, ON ", 9 November 2020,Customer Service Rep,5.0,Enjoyed every day ,I was lucky to work for Scotiabank Im thankful and appreciate a lot - I met a lot of great friendly people I did my best and help others  - team work is important give me satisfaction to expand my knowledge 
48," Toronto, ON ", 31 October 2020,Senior Agency and Loan Officer,5.0,Excellent ,"Outstanding company to work with. My carrier grow in this company. I was motivated to work with this company. If I have the opportunity to wo for this company again, I will happy to do it. "
49," Dartmouth, NS ", 27 October 2020,Bank Manager,1.0,Awful place to work for,I worked in banking for 10 years before joining the BNS. I have never had panic attacks before having to go to work as I did at BNS there is no support or training for new employees joining the team. 
50," Red Deer, AB ", 17 October 2020,"Scotiabank Service Advisor, Universal Banker",1.0,Management can be a nightmare,Management can be a nightmare if the wrong greedy bullies are in charge. Be careful. You are 100% a number with the bank. They don't care about you as a human. 
51," Ottawa, ON ", 12 October 2020,Customer Service Representative,3.0,Quality of life is very dependent on the branch you're at.,"I enjoyed my time at Scotiabank. My managers and co-workers for the most part were always pleasant to me. Regardless of your position, if you're in a retail branch you are expected to meet sales goals. These are often very high, borderline unreachable. Your advancement opportunities are limited, but they are available if you're willing to leave your town/province. This is also a benefit, since if you are looking to move provinces/towns, there is always a Scotiabank to move to. Their formal training is painfully bad, but if you get a good trainer, their hands-on training isn't awful. Pay is something people always complain about. You have high levels of responsibility, but aren't compensated for it. All in all, Scotiabank isn't the worst place to be. It's a good starting job if you have an interest in investing/looking for a part-time job through university or college, but long term? I am not so sure."
52," Toronto, ON ", 12 October 2020,Administrative Assistant/Bank Teller,4.0,Fun place to work and meet positive minded people. ,"Working at the bank is great until you colleagues start snitching on you and taking everything you say or do to the management. Managers encourage gossip and spreading of rumours like high school. It’s ridiculous and this makes the bank( my branch)  a very stressful environment to work. Your colleague always want to look good in front of managers so be careful what you say or do. You have no friends at work. Also if you get hired as casual or part time. Don’t expect to get more hours or change to permanent. Just get your experience and go to another bank. According to the work bankers do, they should get paid more than $16."
53," Toronto, Ca  ", 5 October 2020,Scrum Master (Remote),5.0,productive and fun work place with ping pong table,"It was a nice and awesome place to work , team collaboration , understanding , remove impediments, making sure everyone is on the same page and doing their job. More to that we deliver on time and have our meetings on time , layout our problems to the stakeholders and try to amend them in other to move forward . I do my best  to make sure all my team members are doing the job being assigned   to do by  coaching , facilitate , leading them to the right direction."
54, Canada , 30 September 2020,Client Solutions Advisor,2.0,"Lack of leadership, especially during covid","Terrible communication between departments. Just such a big company and no one talk to each other.  The. People that suffer are the clients. Benefits are good. Paid days are great, but I’ve never gone 24 hours without having to reply to emails and phone calls. Workload never ends. No work life balance. Management is not hired based on skill. Either you drink the kool-aid, are a child of a long time employee, or you go nowhere. Co workers can be very competitive and training is dismal.  I felt under qualified giving clients advise so soon. "
55," Mississauga, ON ", 30 September 2020,Customer Representative,5.0,Positive Work Culture,working for Scotia opened up my eyes to a positive banking work culture. Everyone works together and willing to help one another achieve a solution to any problem
56," Toronto, ON ", 26 September 2020,Data Engineer,5.0,"Multicultural is a good, no bad things",Work-life balanceWork-life balance at Scotiabank is Focus on the company and your individual experience while employed there. Respectful environment.
57," Toronto, ON ", 26 September 2020,Senior Manager,4.0,Productive,"Innovative SafeFriendlyFairly Trusted Very organized RespectfulDiverseFlexibility Life balance/ job securityGreat environment to work, learn "
58," Toronto, ON ", 14 September 2020,Digital Product Manager / Product owner,5.0,"Great place to work, lot to learn. People are extremely talented","Great place, a lot to learn. I had some really good learnings during my tenure. They really have a nice playful culture. Especially during COVID the org was very thoughtful, indulged staff in games and other activities. They provided $500 to everyone as healthcare benefits. They also supplied chairs to people and top management personally delivered it to staffs house. Top management has some ambiguity in defining the roadmap, but then it is a Bank, it has so many dependencies that it is nothing new or unexpected. Overall a great experience!"
59," Burlington, ON ", 31 August 2020,Financial Advisor,1.0,laid off 5 years ago,started off okay and went downhill got laid off wouldn't recommend. This was 5 years ago things may have changed if you get a good starting offer I would take it but I'd look elsewhere.
60," Oshawa, ON ", 28 August 2020,Customer Service Representative,1.0,Not very fair and management does not care about their staff,At first it was enjoyable and then things change and seems that with the constant change of managers it worsened.  Not very fair and not very truthful and just overall not happy there.  It's  all about making the customers happy and all about the image.  Manager does what she needs to do to get ahead no matter who he/she is stepping on 
61," Winnipeg, MB ", 25 August 2020,Mobile Mortgage Advisor,5.0,"Best of the big banks in Canada, no question. Major bank with a credit union feel. Would gladly work there again.","Excellent culture to work in, feels like you’re working at a credit union instead of a major financial institution. The customers are often well taken care of as are you"
62," Bath, NB ", 22 August 2020,Financial Advisor,4.0,Goal driven,Most rewarding part of the job is when you see customer getting financially literate and adept. Sales goal are realistic but comes with proactive calling which will have to be done even sales goal are exceeded.
63," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
64, Processing Support Centre (Former Employee) , Chaguanas ,Senior Processing Clerk - Processing Support Centre,4.0,Management,"Management dealt realistically with employees based on their performances. They recognized and appreciated when the need arose and when needed, they reprimanded to ensure we follow protocol and bank policies."
65," Vancouver, BC ", 2 August 2020,Customer Service Representative,3.0,"Fast path, stressful ","Today I am a Teller per se Customer Representative, if you not see yourself going in the path to become a Financial Advisor the job is not worth it. The role is really stressful, salary and hours are a joke. You will have to deal with a lot of responsibilities and not be paying well. Day by day, you will have to process payouts, property taxes, wills, estates, a lot of fraud cases and  thons of upset clients. I am luck I have a chance to work with nice people so sometimes days are ok, but being honest, after a year there, I am looking for another job."
66," Toronto, ON ", 29 July 2020,"Production Administrator, Production Creative & Production",4.0,fast paced but no stress or mental pressure at work,"worked for almost 14 years, 8 years as supervisor in fulfillment department, managing a staff of 10 people, fulfilling the requests of Sales and Marketing teams, all in house printing (brochures, leaflets etc) assembling sales kits and also storing promotional sales items, taking care of the inventory, also mail and courier the packages to different clients, advisors."
67," Surrey, BC ", 29 July 2020,Financial Advisor,5.0,Great place to work!,It’s been quite a learning at Scotiabank. Fast paced environment expected to plan ahead to be successful. Great mentor ship. Client focussed and gives you a chance to work for the community.
68, British Columbia , 26 July 2020,FINANCIAL ADVISOR,3.0,Good Place to get started. Poor Standards and Ethics,"Fine people, fine culture. Most of the people are nice, and management team respect employees.Compensation are fine--above market average, and good additional compensation. However,1) All the banks(not just Scotia) would never treat people equally and nicely unless you are rich. They all advocate that they treat people nicely and equally regardless of their nationality, race, economic status and occupations. That's a lie. 2) This is a Sales Role. It means that sales is everything. If you want to follow code of conduct, standards and ethics, you would never be successful. Sales is everything--again, all the banks are the same, not just Scotia(Scotia is actually comparatively better than its competitors regarding to this). 3) People are really nice and respect each other, and that holds to be true at 99% of the time. The 1% being left is that if the issue is related to their sales------You can spend 3 days to work for a customer in order to gain the customer's respect and trust; however, a senior would tell you that this customer has been assigned to other people when the customer is about to bring you big sales. Again, this job is all about sales. 4) You don't need a college degree, and you don't need to have any financial knowledge to do a sales role. They would train you how to make people happy and getting sales instead of teaching your financial knowledge--If you don't trust me, ask a FA to calculate interest payment/amotization/mortgage payment/rate of return for investment for you by using a financial calculator or excel; I would certainly asset 95% of them - more..."
69," Vancouver, BC ", 23 July 2020,Customer Service Representative,1.0,Corporate Greed,Remember that the bank is a Corporation and their loyalties lie with ensuring the shareholders and top executives needs are satisfied at the expense of the worker
70," Toronto, ON ", 22 July 2020,SENIOR EDITOR,1.0,"Old school corporate, lack of leadership and training.",Not a progressive work environment. If you’re a calm person it won’t fly. They only respond to outward chaos as those optics mean to them that you’re working hard. They want employees frantic and high stressed. Culture is outdated and stiff.
71," Vancouver, BC ", 22 July 2020,Customer Representative,3.0,Good starting point for any fiance students with good pay,"Well paid with benefits. Large corporation with a lot to learn. However, large corporations often are stuck with processes and procedures that become stagnant.  Weekly goals may some time not be realistic with actual branch situations (how do you convert most of your customers to online banking when most of them are Chinese seniors who don't speak English???)"
72," Ottawa, ON ", 18 July 2020,Customer Care Advisor,4.0,Very good experience at ScotiaBank,Scotiabank is a very good company to set up a career in a banking industry. The training is almost perfect. We received a lot of support from the manager. The core values of this company are well reflected in the overall interactions and business relationships between colleagues as well as customers. I enjoy my job
73," Stratford, ON ", 9 July 2020,Senior Accounting Clerk,4.0,A comfortable job filled to the brim with corporate nonsense.,"The job was moderately challenging and comfortable. Very friendly colleagues and management. The work environment was relaxed. The pay was okay but it was not enough given the high cost of living in the area. I had a good deal of control over the work I did, which was nice.  The nail in the coffin for me was the inability to improve processes. On multiple occasions I developed and tested better tools and processes only to have them actively suppressed by the leadership team. Meanwhile, we all had to endure rhetoric that encouraged us to innovate. Completely contradictory. Corporate doublespeak at every meeting--at every turn. A decent job turned sour by arbitrary or misused policy."
74," Hamilton, ON ", 8 July 2020,"Customer Service Lead Teller, & Financial Advisor",5.0,Professional Work Environment,"This job is a career choice. If you dedicate yourself to be successful here Scotiabank will provide you with all the necessary tools required for you to thrive. It is hard work, you deal with the general public daily, heavy communication is required as well as an abundance of patience. You are dealing with peoples homes, mortgages, savings, investments etc so you need to be prepared to answer questions or concerns with professionalism and great detail"
75," Toronto, ON ", 6 July 2020,Senior Project Manager,5.0,Scotia,It is a good place to work with people who are deeply involved in the process and vested in the company. The management is good and there is always an opportunity to grow.
76," Toronto, ON ", 1 July 2020,Customer Service Representative,4.0,Terrible management at branch level,Resistant to constructive critique. Sometimes resistant to critique provided with evidence. Depending on what branch you end up you may face these kinds of managers. If you are a racialized person get ready for uncomfortable situations and regurgitated stereotypes.
77," Saskatoon, SK ", 28 June 2020,Customer Service Representative,5.0,fun place with the right people,I enjoy the role as a CSR in the banking industry as I enjoy talking to new people and getting to know them.  The team that I work with are like minded which means we get along well.  The right team makes the job great.
78," Stouffville, ON ", 21 June 2020,Customer Service Representative,4.0,Productive and advance workplace,Working at Scotiabank has allowed me to learn more about banking day to day needs as well as to be more financially literate. Would Highly Recommend Scotiabank to my family members and friends
79," Toronto, ON ", 21 June 2020,Network Engineer,2.0,odd place to work,lots of politics. lots of verbal promises. alot of head games. way to many reorgs. ultimately everything is thrown up in the air and what drops are people who end up leaving
80," Ottawa, ON ", 20 June 2020,Day to day Banking,3.0,stressful call center job,"it is a typical call center environment, very busy and stressful.some of the sytems used and programs could use some updates.Pay is alright and work life balance as well"
81," Guelph, ON ", 17 June 2020,Senior Financial Advisor,5.0,fun work place,"St georges' sq location is really good to work at Scotia bank. good management teamrelaxed work culturepressure of salesthis company takes care of employers well"
82," Toronto, ON ", 14 June 2020,Senior Business Analyst (Contract),5.0,Scotiabank IT,This is a great place work. Please are very friendly in my team. Scotiabank has very competitive benefit plans. They really appreciate employee's contributions. I
83," Toronto, ON ", 13 June 2020,Data Analyst,5.0,Great Company to work for,"Like all of Canada's big banks, the real difference is: a) what is your specific job b) what group/team are you inc) who is your boss  Job environment is very respectful, smart colleagues, good place to be in general."
84," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
85," Walkley Camous, Ottawa ", 12 June 2020,Customer Care Advisor,5.0,Productive and friendly workplace,"Scotiabank is an inclusive employer. When you look around, you know you are in Canada. Management is great and supportive all the way. Coaching is also efficient. Good salary good benefits. A lot to learn unless you have a banking background but in all a good challenge and a stable employer.  88,000.00 employees around the world. 998 Billions in assets...Pretty stable ..."
86, (customer service representative) (Current Employee) ," Comox, BC ",Teller- (customer service representative),5.0,productive and fun place,"Management is awesome. Very helpful co-worker with friendly customers.As I was fast learner everyone were taking initiative to help me when in need. All FAs were helpful. I Enjoy working there."
87," Montréal, QC ", 12 June 2020,Customer Service Representative,5.0,great workplace culture,great workplace culture. Team environment. Possibility to take courses. Nice benefits. Focused on client satisfaction. Provides excellent service to clients.
88," Toronto, ON ", 11 June 2020,Development Lead,2.0,"the teams are great, but toxic senior leadership","overall the experience at BNS has been memorable and I have learnt a lot. this is almost entirely due to my amazing manager, if it wasn't for them I would have left BNS years ago."
89," Scarborough, ON ", 9 June 2020,HUMAN RESOURCE CONSULTANT,3.0,Amazing Growth Opportunity,"I was with Scotiabank for 8 years! It was a great opportunity to grow and I had my fair share of managers who I worked really well with and those who weren't the greatest. All in all, I think Scotiabank is a great place to work for personal development and advancements."
90," Edmonton, AB ", 9 June 2020,Customer Service Representative,5.0,Great work environment!,"Great work environment, management and colleagues are supportive and genuinely care for their customers and staff. There is always opportunities to grow within scotia bank and progress into other roles."
91," Edmundston, NB ", 8 June 2020,Personal Banking Representative/Bank Teller,5.0,Busy work environment,"Busy work environment with good support and job organization.Great practical on the job training with effective online courses. Friendly colleagues."
92," Montréal, QC ", 8 June 2020,AWS DevOps Engineer,5.0,professional and great place to work,"learned new technologies ,worked with great team and been part of many releases ,worked under challenging situations , excellent work culture great place to work"
93," Calgary, AB ", 7 June 2020,Financial Advisor,5.0,A great place to work.,I feel challenged and enjoy the pace. I feel very supported and valued by management and upper management. There are clear and attainable requirements for each job level and promotion.
94," Scarborough, ON ", 7 June 2020,Experienced Technical Analyst,4.0,Nice people. Good place to work. Onboarding process take a long time.,"Nice people, Good place to work. Onboarding process take a long time.Large company with wide range of different technologies. There are a few locations. I was able to work from the Scarborough Campus and visit the downtown campus occationally"
95," Hamilton, ON ", 6 June 2020,Casual Retail Lending Officer,5.0,"Productive,,good support to succeed","Great place to work, good work environment, fast paced. Good opportunity to advance. Weekend and nights shifts. Good life balance. Good Training and support to succeed."
